,Aantal uren,Naam school,ID-school,Salaris schaal,Zij-instromers,Postcode,Dienstverband,Longitude,FTE,Soort vacature,URL,Startdatum,Plaatsnaam,Sluitingsdatum,Latitude,Geplaatst,Functienaam
,24,DIT IS WIJS,2146,,Onbekend,3044 BC,Vast,4.430589,,Parttime,https://www.meesterbaan.nl/vacature/258669,In overleg,Rotterdam,08-10-2023,51.924652,09-08-2023,VSO docent parttime Zuid-Holland
,,OZHW - Bestuursbureau,3504,,Ja,2992 ZB,Tijdelijk met uitzicht op vast,4.531553,"0,8 - 1,0",Parttime,https://www.meesterbaan.nl/vacature/254511,In overleg,Barendrecht,03-09-2023,51.844001,03-07-2023,Medewerker facilitair beleid OZHW Barendrecht
,24,DIT IS WIJS,2146,3500,Onbekend,3044 BC,Vast,4.430589,,Parttime,https://www.meesterbaan.nl/vacature/258550,In overleg,Rotterdam,08-10-2023,51.924652,09-08-2023,Leerkracht
,24,Bisbee Flexonderwijs,10640,,Onbekend,5232 CE,Tijdelijk,5.337894,,,https://www.meesterbaan.nl/vacature/253363,In overleg,'s-Hertogenbosch,27-06-2024,51.713487,27-06-2023,Docent NT2
,,De Geldershof,9714,LC,Ja,6663 CD,Tijdelijk met uitzicht op vast,5.865454,"0,6",Parttime,https://www.meesterbaan.nl/vacature/252672,01-08-2023,Lent,23-08-2023,51.863855,23-06-2023,"Intern begeleider 0,6 FTE"
,,Hoflandschool,5969,,Onbekend,3641 ML,Tijdelijk met uitzicht op vast,4.862135,"0,4",Parttime,https://www.meesterbaan.nl/vacature/258107,zo snel als mogelijk,Mijdrecht,31-08-2023,52.212898,31-07-2023,Innovatieve leerkracht groep 1/2
,,OBS Godelinde,8145,,Ja,1412 HD,Vast,5.171117,,Parttime of fulltime,https://www.meesterbaan.nl/vacature/255161,In overleg,Naarden,06-09-2023,52.287024,06-07-2023,"Leraarondersteuner (WTF 0,4 - 1,0)"
,,OBS Joppe,10780,,Nee,2151 KK,Tijdelijk met uitzicht op vast,4.612812,"0,575",Parttime,https://www.meesterbaan.nl/vacature/256449,1-8-2023,Nieuw-Vennep,14-09-2023,52.273011,14-07-2023,Leerkracht groep 3
,24,DIT IS WIJS,2146,3500,Onbekend,3044 BC,Vast,4.430589,,Parttime,https://www.meesterbaan.nl/vacature/258603,In overleg,Rotterdam,08-10-2023,51.924652,09-08-2023,Leerkracht bovenbouw
,32,DIT IS WIJS,2146,3500,Onbekend,3044 BC,,4.430589,,Parttime,https://www.meesterbaan.nl/vacature/255857,2023-07-12,Rotterdam,10-09-2023,51.924652,12-07-2023,Leerkracht
,https://www.meesterbaan.nl/vacature/255854,Onbekend,10-09-2023,DIT IS WIJS,Rotterdam,51.924652,Zelfstandig onderwijsassistent,4.430589,2500,2023-07-12,,12-07-2023,32,2146,Parttime,,3044 BC
,https://www.meesterbaan.nl/vacature/256903,Ja,18-09-2023,Petje af Rotterdam,Rotterdam,51.916711,Coach,4.428659,,notk,0.1,18-07-2023,,6677,Parttime,,2497 ZS
,https://www.meesterbaan.nl/vacature/255011,Onbekend,01-09-2023,SPO Utrecht,Utrecht,52.069440,SPO Utrecht zoekt invalleerkrachten,5.079607,,2023-08-01,,05-07-2023,,5051,,,3528 BE
,https://www.meesterbaan.nl/vacature/239326,Ja,22-08-2023,OBS Corantijn,,52.362039,Groepsleerkracht middenbouw OBS Corantijn,4.852685,,01-08-2023,"0,4 - 1,0",19-04-2023,,10468,Parttime of fulltime,Tijdelijk met uitzicht op vast,
,https://www.meesterbaan.nl/vacature/259064,Onbekend,15-10-2023,DIT IS WIJS,Rotterdam,51.924652,Pedagogisch medewerker,4.430589,2500,In overleg,,16-08-2023,36,2146,Parttime,Vast,3044 BC
,https://www.meesterbaan.nl/vacature/258438,Ja,03-09-2023,A'DAM Onderwijs,Amsterdam,52.363493,Parttime groepsleerkracht voor daltonschool in Amsterdam,4.858030,,03-11-2023,"0,4 tot 0,6 FTE",03-08-2023,,4066,Parttime,Tijdelijk,1058 AA
,https://www.meesterbaan.nl/vacature/256423,Onbekend,27-08-2023,Openbaar Onderwijs Zwolle en Regio PO,Zwolle,52.528348,Groepsleerkracht PO Flexpool (contract),6.102275,LB,In overleg,"0,4 - 0,8",13-07-2023,,2446,Parttime of fulltime,Tijdelijk met uitzicht op vast,8032 JX
,https://www.meesterbaan.nl/vacature/255837,Onbekend,31-08-2023,Over de Brug,Zaandam,52.449422,"Vakleerkracht bewegingsonderwijs - Over de Brug (wtf 0,4)",4.818217,,1-8-2023,,11-07-2023,,9369,,,1506 HK
,https://www.meesterbaan.nl/vacature/243229,Nee,04-09-2023,Klinker,Spijkenisse,51.833570,Schooljaar 2023-2024 Leerkracht gr. 8,4.314008,,1-8-2023,0.1500,11-05-2023,,5724,Parttime,Tijdelijk met uitzicht op vast,3208 RC
,https://www.meesterbaan.nl/vacature/255713,Nee,04-09-2023,Alberdingk Thijm Scholen Primair Onderwijs,Hilversum,52.218731,Vakleerkracht Muziek,5.181856,,per schooljaar 2023-2024,"circa 0,4 fte",11-07-2023,,4004,Parttime,Tijdelijk met uitzicht op vast,1213 AL
