,Aantal uren,Naam school,ID-school,Salaris schaal,Zij-instromers,Postcode,Dienstverband,Longitude,FTE,Soort vacature,URL,Startdatum,Plaatsnaam,Sluitingsdatum,Latitude,Geplaatst,Functienaam
,24,DIT IS WIJS,2146,,Onbekend,3044 BC,Vast,4.430589,,Parttime,https://www.meesterbaan.nl/vacature/258669,In overleg,Rotterdam,08-10-2023,51.924652,09-08-2023,VSO docent parttime Zuid-Holland
,,OZHW - Bestuursbureau,3504,,Ja,2992 ZB,Tijdelijk met uitzicht op vast,4.531553,"0,8 - 1,0",Parttime,https://www.meesterbaan.nl/vacature/254511,In overleg,Barendrecht,03-09-2023,51.844001,03-07-2023,Medewerker facilitair beleid OZHW Barendrecht
,24,DIT IS WIJS,2146,3500,Onbekend,3044 BC,Vast,4.430589,,Parttime,https://www.meesterbaan.nl/vacature/258550,In overleg,Rotterdam,08-10-2023,51.924652,09-08-2023,Leerkracht
,24,Bisbee Flexonderwijs,10640,,Onbekend,5232 CE,Tijdelijk,5.337894,,,https://www.meesterbaan.nl/vacature/253363,In overleg,'s-Hertogenbosch,27-06-2024,51.713487,27-06-2023,Docent NT2
,,De Geldershof,9714,LC,Ja,6663 CD,Tijdelijk met uitzicht op vast,5.865454,"0,6",Parttime,https://www.meesterbaan.nl/vacature/252672,01-08-2023,Lent,23-08-2023,51.863855,23-06-2023,"Intern begeleider 0,6 FTE"
,,Hoflandschool,5969,,Onbekend,3641 ML,Tijdelijk met uitzicht op vast,4.862135,"0,4",Parttime,https://www.meesterbaan.nl/vacature/258107,zo snel als mogelijk,Mijdrecht,31-08-2023,52.212898,31-07-2023,Innovatieve leerkracht groep 1/2
,,OBS Godelinde,8145,,Ja,1412 HD,Vast,5.171117,,Parttime of fulltime,https://www.meesterbaan.nl/vacature/255161,In overleg,Naarden,06-09-2023,52.287024,06-07-2023,"Leraarondersteuner (WTF 0,4 - 1,0)"
,,OBS Joppe,10780,,Nee,2151 KK,Tijdelijk met uitzicht op vast,4.612812,"0,575",Parttime,https://www.meesterbaan.nl/vacature/256449,1-8-2023,Nieuw-Vennep,14-09-2023,52.273011,14-07-2023,Leerkracht groep 3
,24,DIT IS WIJS,2146,3500,Onbekend,3044 BC,Vast,4.430589,,Parttime,https://www.meesterbaan.nl/vacature/258603,In overleg,Rotterdam,08-10-2023,51.924652,09-08-2023,Leerkracht bovenbouw
,32,DIT IS WIJS,2146,3500,Onbekend,3044 BC,,4.430589,,Parttime,https://www.meesterbaan.nl/vacature/255857,2023-07-12,Rotterdam,10-09-2023,51.924652,12-07-2023,Leerkracht
